date,MID_PRICE,high,low,close,volume,openinterest,BID_PRICE_1,BID_SIZE_1,BID_PRICE_2,BID_SIZE_2,BID_PRICE_3,BID_SIZE_3,ASK_PRICE_1,ASK_SIZE_1,ASK_PRICE_2,ASK_SIZE_2,ASK_PRICE_3,ASK_SIZE_3,year,month,day,hour,minute,second,microsecond
1700-01-01,,0,0,0,0,0,409.03,100,408.99,100,327.31,100,409.17,7,409.72,50,409.92,100,2022,8,1,13,30,0,172841
1700-01-02,409.1,0,0,0,0,0,409.03,100,409.0,100,408.99,100,409.17,7,409.72,50,409.92,100,2022,8,1,13,30,0,173193
1700-01-03,409.1,0,0,0,0,0,409.03,100,409.0,100,408.99,100,409.15,500,409.17,7,409.72,50,2022,8,1,13,30,0,175386
1700-01-04,409.09,0,0,0,0,0,409.03,100,409.0,100,408.99,100,409.17,7,409.72,50,409.92,100,2022,8,1,13,30,0,175386
1700-01-05,409.1,0,0,0,0,0,409.03,100,409.0,100,408.99,100,409.17,7,409.72,50,409.92,100,2022,8,1,13,30,0,176423
1700-01-06,409.1,0,0,0,0,0,409.03,100,409.0,100,408.99,100,409.17,7,409.72,50,409.92,100,2022,8,1,13,30,0,176423
1700-01-07,409.1,0,0,0,0,0,409.03,100,409.0,100,408.99,100,409.17,7,409.72,50,409.92,100,2022,8,1,13,30,0,176423
1700-01-08,409.1,0,0,0,0,0,409.03,100,408.99,100,408.96,100,409.17,7,409.72,50,409.92,100,2022,8,1,13,30,0,182028
1700-01-09,409.1,0,0,0,0,0,409.04,100,409.03,100,408.99,100,409.17,7,409.72,50,409.92,100,2022,8,1,13,30,0,241268
1700-01-10,409.105,0,0,0,0,0,409.04,100,409.03,100,408.99,100,409.17,507,409.72,50,409.92,100,2022,8,1,13,30,0,260704
1700-01-11,409.105,0,0,0,0,0,409.03,100,408.99,100,408.96,100,409.17,507,409.72,50,409.92,100,2022,8,1,13,30,0,260984
1700-01-12,409.1,0,0,0,0,0,409.03,100,408.99,100,408.96,100,409.17,7,409.72,50,409.92,100,2022,8,1,13,30,0,261694
1700-01-13,409.1,0,0,0,0,0,409.04,100,409.03,100,408.99,100,409.17,7,409.72,50,409.92,100,2022,8,1,13,30,0,262073
1700-01-14,409.105,0,0,0,0,0,409.15,500,409.04,100,409.03,100,409.17,7,409.72,50,409.92,100,2022,8,1,13,30,0,290183
